index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
795,2015,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,eng,,4.07,61439.0,Fiction,930.35,558.21,8.09,Penguin Group (USA) LLC,2916.0,372.14
796,1894,The Jungle Book,Rudyard Kipling,eng,Intermediate,3.94,67107.0,Fiction,113.85,68.31,0.99,"Amazon Digital Services,  Inc.",2916.0,45.53999999999999
797,2013,I Am Pilgrim,Terry Hayes,eng,,4.23,49740.0,Fiction,573.85,344.31,4.99,"Amazon Digital Services,  Inc.",2916.0,229.54000000000002
798,1956,Howl and Other Poems ,"Allen Ginsberg, William Carlos Williams",eng,,4.14,71968.0,Non-Fiction,1269.6,761.76,11.04,HarperCollins Publishers,2916.0,507.8399999999999
799,1997,Don't Sweat the Small Stuff,Richard Carlson,eng,Intermediate,3.95,63324.0,Fiction,884.35,530.61,7.69,Random House LLC,2916.0,353.74
800,2011,Go the Fuck to Sleep,"Adam Mansbach, Ricardo CortÃ©s",eng,,4.26,71816.0,Fiction,113.85,68.31,0.99,"Amazon Digital Services,  Inc.",2916.0,45.53999999999999
801,1992,Mostly Harmless,Douglas Adams,en-US,Intermediate,3.96,72426.0,Non-Fiction,573.85,344.31,4.99,Simon and Schuster Digital Sales Inc,2916.0,229.54000000000002
802,2003,Benjamin Franklin: An American Life,Walter Isaacson,eng,Intermediate,3.96,70335.0,Fiction,573.85,344.31,4.99,Macmillan,2916.0,229.54000000000002
803,2011,The Tiger's Wife,TÃ©a Obreht,eng,Beginner,3.37,66104.0,Fiction,113.85,0.0,0.99,"Amazon Digital Services,  Inc.",2916.0,113.85
804,2005,Poison Study,Maria V. Snyder,eng,,4.16,96417.0,Fiction,343.85,0.0,2.99,"Amazon Digital Services,  Inc.",2916.0,343.85
805,2007,Lover Unbound,J.R. Ward,eng,,4.33,97514.0,Fiction,910.86,546.516,7.99,"Amazon Digital Services,  Inc.",2916.0,364.34400000000005
806,2004,Going Postal,Terry Pratchett,eng,,4.36,75186.0,Fiction,1366.86,820.116,11.99,Penguin Group (USA) LLC,2916.0,546.7439999999999
807,1830,The Book of Mormon,"Anonymous, Joseph Smith Jr.",eng,,4.37,63530.0,Fiction,1366.86,820.116,11.99,Random House LLC,2916.0,546.7439999999999
808,1980,The Mist,Stephen King,en-US,Intermediate,3.92,82062.0,Non-Fiction,340.86,204.516,2.99,"Amazon Digital Services,  Inc.",2916.0,136.34400000000002
809,2005,Dead Beat,Jim Butcher,eng,,4.43,78123.0,Fiction,568.86,0.0,4.99,"Amazon Digital Services,  Inc.",2916.0,568.86
810,2015,Golden Son,Pierce Brown,eng,,4.46,57614.0,Fiction,112.86,0.0,0.99,"Amazon Digital Services,  Inc.",2916.0,112.86
811,2002,Night Watch,Terry Pratchett,eng,,4.47,71271.0,Non-Fiction,910.86,546.516,7.99,"Amazon Digital Services,  Inc.",2916.0,364.34400000000005
812,1986,The Light Fantastic,Terry Pratchett,en-US,Intermediate,3.94,75196.0,Non-Fiction,112.86,67.716,0.99,"Amazon Digital Services,  Inc.",2916.0,45.144000000000005
813,2009,What the Dog Saw and Other Adventures,Malcolm Gladwell,eng,Intermediate,3.82,65277.0,Fiction,876.66,525.996,7.69,Random House LLC,2916.0,350.664
814,2015,Pretty Girls,Karin Slaughter,eng,Intermediate,3.95,60737.0,Fiction,226.86,0.0,1.99,"Amazon Digital Services,  Inc.",2916.0,226.86
815,2008,Last Argument of Kings,Joe Abercrombie,eng,,4.26,65068.0,Fiction,568.86,341.316,4.99,Macmillan,2916.0,227.54400000000004
816,2014,Revival,Stephen King,en-US,Intermediate,3.75,53662.0,Fiction,568.86,0.0,4.99,"Amazon Digital Services,  Inc.",2916.0,568.86
817,1954,Horton Hears a Who!,Dr. Seuss,eng,,4.16,80883.0,Fiction,112.86,67.716,0.99,"Amazon Digital Services,  Inc.",2916.0,45.144000000000005
818,2006,The Blind Side: Evolution of a Game,Michael   Lewis,eng,,4.16,37792.0,Children,226.86,136.116,1.99,HarperCollins Publishers,2889.0,90.744
819,2001,Lirael,Garth Nix,en-US,,4.29,78903.0,Fiction,876.66,525.996,7.69,Penguin Group (USA) LLC,2889.0,350.664
820,2006,School's Out Forever,James Patterson,en-US,,4.16,90157.0,Fiction,340.86,204.516,2.99,"Amazon Digital Services,  Inc.",2889.0,136.34400000000002
821,2007,é»’åŸ·äº‹ I [Kuroshitsuji I],"Yana Toboso, Tomo Kimura",eng,,4.37,74378.0,Non-Fiction,1366.86,820.116,11.99,Penguin Group (USA) LLC,2889.0,546.7439999999999
822,2015,Winter,Marissa Meyer,eng,,4.49,100464.0,Non-Fiction,397.86,0.0,3.49,"Amazon Digital Services,  Inc.",2889.0,397.86
823,1886,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,"Robert Louis Stevenson, Robert Mighall",eng,Intermediate,3.94,80299.0,Fiction,568.86,341.316,4.99,Random House LLC,2889.0,227.54400000000004
